Generation,Average Fitness,Best Fitness,Worst Fitness
678,363.57,490.65,-851.65
679,324.99,491.50,-842.60
680,361.67,491.20,-364.05
681,337.63,488.85,-872.65
682,383.33,486.70,-391.25
683,351.62,490.70,-817.00
684,346.23,492.10,-814.95
685,369.02,492.30,-513.20
686,366.09,489.60,-791.60
687,335.43,489.70,-913.25
688,370.27,487.55,-781.35
689,384.76,490.70,-430.30
690,369.80,490.80,-577.40
691,367.16,493.00,-538.70
692,398.14,496.65,-786.30
693,378.48,490.40,-597.10
694,372.91,492.20,-548.87
695,366.76,495.40,-779.00
696,371.88,493.40,-543.19
697,393.58,492.40,-582.95
698,346.94,489.70,-874.20
699,349.48,493.25,-676.80
700,361.07,489.45,-709.30
701,368.92,490.80,-586.00
702,362.77,489.45,-881.45
703,376.68,490.20,-585.55
704,384.48,492.10,-826.70
705,374.34,492.75,-858.60
706,371.29,492.20,-561.90
707,359.80,495.30,-832.15
708,374.37,490.00,-815.10
709,362.41,490.30,-846.30
710,370.20,491.20,-465.75
711,365.40,490.10,-858.25
712,354.30,491.70,-605.84
713,390.62,493.30,-409.30
714,331.70,493.20,-835.05
715,349.20,487.60,-680.88
716,377.60,490.90,-545.90
717,355.68,489.20,-543.35
718,344.99,491.70,-765.90
719,367.06,492.70,-542.65
720,371.65,490.10,-509.32
721,381.06,493.70,-852.90
722,346.52,493.90,-830.50
723,384.95,490.80,-848.70
724,352.04,493.25,-457.43
725,364.05,490.00,-819.60
726,370.63,490.60,-364.90
727,356.18,490.30,-529.95
728,345.76,490.00,-863.05
729,372.13,486.80,-441.75
730,363.65,496.20,-827.60
731,372.20,490.50,-340.50
732,351.67,493.30,-734.85
733,368.18,491.70,-424.29
734,361.98,490.20,-559.60
735,393.85,490.35,-567.85
736,397.79,494.60,-337.05
737,368.40,493.90,-788.85
738,358.39,497.30,-597.35
739,371.58,493.70,-392.20
740,388.61,489.55,-369.00
741,368.55,494.70,-576.90
742,382.89,494.90,-892.00
743,368.10,494.65,-707.05
744,387.00,494.25,-794.50
745,369.65,493.75,-862.95
746,347.78,493.80,-811.00
747,366.51,495.10,-777.15
748,346.87,492.15,-634.30
749,381.40,491.80,-758.20
750,391.07,487.60,-425.80
751,370.98,496.30,-477.40
752,344.03,495.60,-805.15
753,360.30,492.55,-565.85
754,386.22,491.75,-498.90
755,377.73,493.80,-805.00
756,362.75,495.20,-870.15
757,361.23,492.90,-838.65
758,374.50,493.30,-455.25
759,389.26,491.80,-899.00
760,365.28,491.25,-775.05
761,376.69,494.60,-516.75
762,371.28,494.20,-527.40
763,370.96,491.20,-819.60
764,376.26,488.65,-814.40
765,360.80,491.55,-849.35
766,360.64,493.70,-812.95
767,375.08,494.30,-816.45
768,384.63,492.40,-750.50
769,370.12,498.65,-818.60
770,378.07,492.10,-765.85
771,366.13,493.80,-812.05
772,382.76,491.30,-506.40
